"","Province","U_R","COICOP","Products","Weights","Date","Index","Source"
"Rural.1","0","2","00","GENERAL INDEX (CPI)",10000,2009-02-01,79.0448481908017,"Rural"
"Rural.2","0","2","00","GENERAL INDEX (CPI)",10000,2009-03-01,81.7712864788571,"Rural"
"Rural.3","0","2","00","GENERAL INDEX (CPI)",10000,2009-04-01,81.4288923340499,"Rural"
"Rural.4","0","2","00","GENERAL INDEX (CPI)",10000,2009-05-01,82.1584208867838,"Rural"
"Rural.5","0","2","00","GENERAL INDEX (CPI)",10000,2009-06-01,79.4115762150081,"Rural"
"Rural.6","0","2","00","GENERAL INDEX (CPI)",10000,2009-07-01,82.62880889586,"Rural"
"Rural.7","0","2","00","GENERAL INDEX (CPI)",10000,2009-08-01,82.4055150152604,"Rural"
"Rural.8","0","2","00","GENERAL INDEX (CPI)",10000,2009-09-01,84.0509203809078,"Rural"
"Rural.9","0","2","00","GENERAL INDEX (CPI)",10000,2009-10-01,86.3765328469857,"Rural"
"Rural.10","0","2","00","GENERAL INDEX (CPI)",10000,2009-11-01,89.6568942645384,"Rural"
"Rural.11","0","2","00","GENERAL INDEX (CPI)",10000,2009-12-01,88.8607067831727,"Rural"
"Rural.12","0","2","00","GENERAL INDEX (CPI)",10000,2010-01-01,85.5833552217459,"Rural"
"Rural.13","0","2","00","GENERAL INDEX (CPI)",10000,2010-02-01,82.5381980989923,"Rural"
"Rural.14","0","2","00","GENERAL INDEX (CPI)",10000,2010-03-01,83.2916736056341,"Rural"
"Rural.15","0","2","00","GENERAL INDEX (CPI)",10000,2010-04-01,81.1493674700212,"Rural"
"Rural.16","0","2","00","GENERAL INDEX (CPI)",10000,2010-05-01,80.9065971913904,"Rural"
"Rural.17","0","2","00","GENERAL INDEX (CPI)",10000,2010-06-01,80.1776153157912,"Rural"
"Rural.18","0","2","00","GENERAL INDEX (CPI)",10000,2010-07-01,78.6761510125344,"Rural"
"Rural.19","0","2","00","GENERAL INDEX (CPI)",10000,2010-08-01,79.9008485986656,"Rural"
